fecha,t_min,t_max,hr_t_min,hr_t_max
2020-05-18,16.4,24.5,96.6,58.6
2020-05-19,16.2,25.4,100.0,57.4
2020-05-20,15.8,24.5,100.0,63.1
2020-05-21,16.8,22.5,100.0,71.2
2020-05-22,14.8,18.3,64.2,51.4
2020-05-23,10.9,13.5,87.5,73.7
2020-05-24,6.7,20.0,85.6,35.9
2020-05-25,8.7,23.0,88.1,35.3
2020-05-26,10.5,23.7,89.1,38.6
2020-05-27,10.2,23.2,82.8,36.2
2020-05-28,10.6,25.8,96.3,37.0
2020-05-29,14.1,26.1,99.5,47.3
2020-05-30,14.0,24.9,95.1,48.3
2020-05-31,13.7,24.9,100.0,52.7
2020-06-01,15.4,23.8,100.0,64.8
2020-06-02,16.2,23.5,48.4,30.7
2020-06-03,8.2,22.8,63.5,24.9
2020-06-04,10.7,23.9,91.8,39.8
2020-06-05,13.2,23.4,93.6,49.4
2020-06-06,13.3,23.7,100.0,52.6
2020-06-07,12.1,24.1,100.0,52.3
2020-06-08,14.1,25.5,100.0,49.7
2020-06-09,11.5,24.0,81.9,37.2
2020-06-10,15.1,23.1,100.0,63.0
2020-06-11,17.1,24.8,100.0,66.5
2020-06-12,15.9,25.3,100.0,61.1
2020-06-13,16.4,24.0,100.0,66.4
2020-06-14,19.3,26.1,100.0,73.4
2020-06-15,17.7,24.5,97.8,64.4
2020-06-16,15.5,24.4,100.0,57.6
2020-06-17,17.0,24.0,96.0,62.4
2020-06-18,14.4,24.7,99.4,52.4
2020-06-19,16.1,23.5,96.8,61.2
2020-06-20,14.0,22.1,100.0,63.9
2020-06-21,13.6,23.5,100.0,61.5
2020-06-22,13.8,23.6,91.3,49.5
2020-06-23,8.6,21.5,75.2,32.8
2020-06-24,7.1,21.1,89.3,36.0
2020-06-25,7.3,21.4,93.0,37.3
2020-06-26,8.4,22.9,93.5,36.9
2020-06-27,10.8,23.6,100.0,49.1
2020-06-28,11.6,22.7,100.0,52.6
2020-06-29,11.8,23.2,100.0,50.7
2020-06-30,13.3,23.3,98.9,52.8
2020-07-01,13.1,23.3,100.0,55.6
2020-07-02,11.4,23.9,100.0,51.9
2020-07-03,10.7,24.8,100.0,52.7
2020-07-04,13.0,21.6,63.5,36.8
2020-07-05,6.6,21.4,72.9,27.9
2020-07-06,8.3,22.8,79.5,31.4
2020-07-07,10.8,23.6,95.8,42.6
2020-07-08,13.4,22.5,98.3,55.4
2020-07-09,12.4,23.2,100.0,56.3
2020-07-10,13.2,23.7,100.0,54.6
2020-07-11,12.8,24.5,100.0,60.5
2020-07-12,11.3,25.4,100.0,58.0
2020-07-13,15.1,22.2,85.7,54.9
2020-07-14,7.9,19.9,78.9,36.2
2020-07-15,9.3,21.6,81.1,36.8
2020-07-16,7.6,22.4,75.7,29.2
2020-07-17,8.4,22.0,70.8,29.5
2020-07-18,8.2,23.5,100.0,43.2
2020-07-19,9.0,24.6,100.0,44.6
2020-07-20,8.5,25.7,100.0,38.8
2020-07-21,11.7,22.3,88.8,45.3
2020-07-22,14.8,18.9,74.9,57.7
2020-07-23,14.4,17.8,100.0,81.0
2020-07-24,14.3,21.2,100.0,66.0
2020-07-25,15.5,21.3,100.0,72.7
2020-07-26,15.1,24.4,100.0,59.2
2020-07-27,9.7,21.6,94.8,44.2
2020-07-28,9.5,22.3,77.5,34.2
2020-07-29,7.4,21.3,100.0,41.1
2020-07-30,9.2,24.2,100.0,41.7
2020-07-31,12.5,23.5,82.8,41.5
2020-08-01,12.4,22.5,93.8,49.6
2020-08-02,14.6,22.4,86.1,52.8
2020-08-03,12.6,21.8,97.4,54.4
2020-08-04,10.6,24.5,100.0,43.3
2020-08-05,10.6,25.9,100.0,51.8
2020-08-06,11.8,25.3,100.0,56.8
2020-08-07,14.7,21.7,100.0,64.7
2020-08-08,16.1,22.5,100.0,74.9
2020-08-09,10.3,20.7,87.1,44.7
2020-08-10,7.7,20.7,88.5,38.1
2020-08-11,9.2,22.2,100.0,44.5
2020-08-12,9.9,23.8,100.0,53.9
2020-08-13,11.8,25.0,100.0,55.6
2020-08-14,16.8,25.6,100.0,60.9
2020-08-15,17.5,26.2,100.0,59.4
2020-08-16,11.1,23.9,81.0,36.1
2020-08-17,9.6,23.6,85.4,35.0
2020-08-18,8.8,25.0,94.5,33.8
2020-08-19,17.5,28.6,86.6,44.2
2020-08-20,13.6,25.9,46.3,21.6
2020-08-21,9.6,25.7,63.6,23.0
2020-08-22,10.2,25.5,61.9,23.6
2020-08-23,10.0,22.0,44.8,20.8
2020-08-24,7.5,23.7,51.2,18.1
2020-08-25,7.1,24.2,100.0,35.4
2020-08-26,9.3,23.4,69.2,28.2
2020-08-27,11.2,23.5,94.0,43.2
2020-08-28,9.4,24.8,100.0,41.5
2020-08-29,10.9,23.9,100.0,44.2
2020-08-30,12.2,24.2,100.0,49.0
2020-08-31,12.5,25.6,100.0,45.4
2020-09-01,10.9,27.7,100.0,38.0
2020-09-02,14.5,25.9,100.0,55.4
2020-09-03,14.6,24.0,100.0,60.7
2020-09-04,16.7,25.7,97.9,56.3
2020-09-05,12.8,25.6,100.0,56.7
